framenumber, male_x, male_y, male_angle, female_x, female_y, female_angle
96 ,129,227,0.0892284133748 ,210,203,5.4756125327
97 ,126,226,0.112571153487 ,203,208,5.61885224983
98 ,121,223,0.669811645766 ,195,211,5.72054459
99 ,113,218,0.612423187436 ,193,213,5.70843446415
100 ,100,210,0.773401687951 ,189,219,6.00793429271
101 ,87,202,0.907997849444 ,186,226,0.103103882128
102 ,75,191,0.981682723116 ,177,224,0.323840388554
103 ,70,182,1.02105436404 ,172,223,0.307573667457
104 ,65,174,1.28819552035 ,166,223,0.284455032351
105 ,63,166,1.14421171602 ,166,224,0.333699810383
106 ,57,157,1.39580214209 ,156,224,0.380899813331
107 ,55,148,1.2740200465 ,154,225,0.309496469764
108 ,54,139,1.38620251163 ,144,228,0.337221175135
109 ,53,137,1.50966612713 ,136,227,0.494760469418
110 ,50,133,1.68588689725 ,126,224,0.581183775217
111 ,49,127,1.74463168688 ,118,219,0.626868705821
112 ,49,127,1.67525674828 ,108,215,0.671626590049
113 ,50,128,1.4416143718 ,106,216,0.616272919949
114 ,51,126,1.46194867199 ,107,218,0.878091615667
115 ,52,125,1.47202980198 ,107,219,0.861699859157
116 ,50,126,1.5499544281 ,111,220,0.846853801344
117 ,50,126,1.60866726396 ,110,220,0.65253052661
118 ,50,126,1.59655128748 ,109,220,0.876203967086
119 ,50,126,1.55511350377 ,108,220,0.852226462527
120 ,50,127,1.60339921299 ,108,221,0.832361411324
121 ,51,125,1.41069720207 ,112,219,0.437167879791
122 ,51,126,1.41445385711 ,109,220,0.977502092837
123 ,51,127,1.51529445178 ,110,222,0.829121942174
124 ,51,127,1.48594641657 ,110,222,0.822264302367
125 ,51,127,1.50006809456 ,110,222,0.824199887848
126 ,51,126,1.49270764994 ,110,222,0.808631048115
127 ,52,127,1.33836095317 ,110,222,0.70024305491
128 ,53,125,1.29252528765 ,110,222,0.700263294934
129 ,53,126,1.36346071382 ,109,222,0.684238522023
130 ,53,125,1.29303714722 ,110,222,0.73374721932
131 ,52,127,1.42237303292 ,110,222,0.757878654589
132 ,52,127,1.43414580284 ,111,222,0.759665635681
133 ,52,127,1.45022703476 ,109,221,0.661654915979
134 ,52,127,1.46041362593 ,109,221,0.664713023859
135 ,52,127,1.36761151669 ,109,222,0.644180051854
136 ,52,127,1.40272689356 ,110,222,0.691054083885
137 ,53,126,1.29534397735 ,110,222,0.752741416846
138 ,53,126,1.29270638261 ,110,222,0.7101968858
139 ,53,125,1.30258884078 ,110,222,0.748892083807
140 ,53,124,1.2656316217 ,110,222,0.748644942458
141 ,52,126,1.29497220006 ,109,222,0.662692749856
142 ,52,126,1.28692199672 ,110,222,0.675866342504
143 ,52,127,1.36185109925 ,110,222,0.656173065191
144 ,52,127,1.33014882964 ,109,222,0.678192613716
145 ,53,126,1.29410454218 ,110,222,0.727254166266
146 ,53,125,1.22085962272 ,110,222,0.723510560722
147 ,51,126,1.42515763416 ,109,222,0.661325083478
148 ,47,126,1.63852317232 ,110,222,0.650350862416
149 ,51,131,5.14129566789 ,110,222,0.634469367572
150 ,55,127,5.45213949743 ,111,222,0.679562011149
151 ,54,126,5.32366534408 ,112,223,0.693171829584
152 ,55,124,5.13407860121 ,111,222,0.518453548372
153 ,55,123,5.11465144027 ,113,223,0.439322643429
154 ,53,119,4.9571201854 ,116,225,0.575799662441
155 ,52,119,5.071397776 ,118,227,0.587262174089
156 ,53,116,5.13697468903 ,120,227,0.67677421412
157 ,53,114,5.13729862928 ,121,227,0.619695215108
158 ,53,112,5.14705728376 ,122,227,0.622705119772
159 ,54,111,5.13150242562 ,122,227,0.579753657711
160 ,56,107,5.03334882732 ,121,227,0.678727376463
161 ,58,104,5.03268433534 ,121,226,0.619514652786
162 ,59,102,4.92742054635 ,121,226,0.687786385227
163 ,60,100,4.85669900531 ,121,227,0.781598365154
164 ,63,93,1.83792202013 ,121,227,0.766856703256
165 ,62,90,1.90830209398 ,121,227,0.756493810822
166 ,66,85,1.86026555885 ,121,227,0.779333612963
167 ,69,82,1.73536123977 ,121,227,0.756998479849
168 ,75,71,1.94022567228 ,121,227,0.785837052345
169 ,80,68,2.00768870257 ,122,226,0.717955206688
170 ,93,62,2.24892615649 ,120,224,0.948985496517
171 ,98,58,2.19054447223 ,116,219,0.850564650007
172 ,101,45,1.66362520081 ,107,208,0.751173347597
173 ,99,42,1.55560618857 ,100,203,0.631818989655
174 ,100,38,1.49529357936 ,87,194,0.868124468971
175 ,105,34,1.89253588072 ,80,188,0.930391305786
176 ,112,30,1.99549282294 ,74,183,0.974247177353
177 ,120,25,2.11469548057 ,73,182,1.00333369015
178 ,129,22,2.06911025206 ,63,166,1.18041366261
179 ,134,20,2.09014046953 ,60,156,1.3930313893
180 ,144,21,2.64784658223 ,56,142,1.45839175403
181 ,151,22,2.72528198567 ,54,131,1.55922968555
182 ,163,23,2.81852191859 ,54,113,1.66648908102
183 ,175,25,2.94390633903 ,55,102,1.78823588973
184 ,187,25,2.85724081873 ,57,90,1.8198389233
185 ,196,25,2.82810530377 ,60,80,1.91707291543
186 ,207,23,2.78418445108 ,67,63,1.97743755614
187 ,212,26,2.91985812755 ,73,53,2.20880163992
188 ,217,28,3.08320271353 ,85,39,2.34754161349
189 ,222,31,3.17466818222 ,95,32,2.36997794673
190 ,231,36,3.41044595617 ,111,20,2.52774893603
191 ,231,36,3.44055059545 ,121,16,2.62651859006
192 ,233,39,3.58362679448 ,133,12,2.77776436864
193 ,235,40,3.50187041218 ,142,9,2.76665086425
194 ,234,40,3.4370863555 ,151,7,2.90899416135
195 ,239,40,3.55119814768 ,152,8,2.85724960716
196 ,242,46,3.63020867774 ,164,8,3.17082390919
197 ,243,48,3.41733102653 ,175,9,3.19665310965
198 ,245,53,3.47860570269 ,189,11,3.31682918595
199 ,246,52,3.4850865052 ,193,13,3.38047767074
200 ,248,52,3.67130657968 ,202,15,3.46925494462
201 ,246,51,3.54626224491 ,208,17,3.46798275257
202 ,242,55,3.50402704003 ,211,16,3.96963654815
203 ,246,54,3.65540164902 ,213,18,4.01002232082
204 ,247,53,3.5602861849 ,218,21,3.98678837084
205 ,246,52,3.51978762736 ,214,20,3.70428823189
206 ,247,51,3.69810277394 ,216,20,3.7492988501
207 ,244,53,3.751052808 ,221,22,3.87466129946
208 ,244,53,3.751052808 ,221,22,3.87466129946
209 ,240,56,3.78541610817 ,219,20,3.98447248596
210 ,241,55,3.62063927415 ,219,20,3.99277036328
211 ,243,59,3.4522124447 ,219,20,4.01537633988
212 ,247,61,3.42090658661 ,218,19,4.14006234632
213 ,249,65,3.46190808212 ,218,19,4.12480509644
214 ,260,70,3.37728267638 ,219,20,4.09916418146
215 ,259,72,3.38793066021 ,220,21,4.07756328186
216 ,261,77,3.82375497523 ,223,23,4.00506085171
217 ,264,80,3.6887779817 ,225,24,4.0086779571
218 ,266,85,3.69514879566 ,231,27,3.97151301146
219 ,268,88,3.74423298508 ,234,30,4.00691867289
220 ,266,87,3.97595409889 ,236,33,4.00454899215
221 ,265,86,3.99480395309 ,239,35,4.03360248175
222 ,265,88,4.26239944468 ,241,38,4.06306130446
223 ,264,94,4.12189372873 ,242,40,4.11195747471
224 ,269,98,4.19337457029 ,246,43,4.14137049105
225 ,268,104,4.02794646022 ,253,53,4.21889564301
